protein,Promoter,Terminator,estimate,p.adj
mCherry,pPGK1,tRPS3,0.03810998421052537,1
mCherry,pPGK1,tRPS13,-0.2020877228328699,0.14019261478702486
mCherry,pPGK1,tPAB1,0.065010823000277,1
mCherry,pPGK1,tHSP26,0.08815763632389084,1
mCherry,pPGK1,tCLN2,0.2156117986986877,0.12476186218292848
mCherry,pPGK1,tSRO9,-1.3729198920071757,6.624614967609925e-19
mCherry,pPGK1,tTOS6,-0.9565604641240076,4.093660114195875e-13
mCherry,pPGK1,tSUN4,-1.0917918940828553,4.331577116974705e-15
mCherry,pPGK1,tPMA1,-1.8971163218400389,7.0155607762950955e-25
mCherry,pHSP26,tRPS3,0.11645197558525391,1
mCherry,pHSP26,tRPS13,-0.19656468685925532,1
mCherry,pHSP26,tPAB1,-0.06164736699169241,1
mCherry,pHSP26,tHSP26,0.03190400263476399,1
mCherry,pHSP26,tCLN2,-0.1252409078012617,1
mCherry,pHSP26,tSRO9,-1.1746047674264808,3.385211287655653e-6
mCherry,pHSP26,tTOS6,-0.5805807879130992,0.1106629523085092
mCherry,pHSP26,tSUN4,-1.257457865988263,8.157268703195287e-7
mCherry,pHSP26,tPMA1,-1.6289648977784656,6.711753524400178e-10
mCherry,pRPS3,tRPS3,0.8958268112369071,1.236530335638529e-10
mCherry,pRPS3,tRPS13,0.5234414707354139,1.5438083433908057e-5
mCherry,pRPS3,tPAB1,0.6018694592390644,2.240591963974006e-6
mCherry,pRPS3,tHSP26,-0.4661508902788739,4.924606418030985e-5
mCherry,pRPS3,tCLN2,0.5464282868382297,1.0824968328555837e-5
mCherry,pRPS3,tSRO9,-1.114500782473532,1.417787103665529e-13
mCherry,pRPS3,tTOS6,-1.0278710142676009,1.914971434868235e-12
mCherry,pRPS3,tSUN4,-1.3307405240166272,2.4164576064452304e-16
mCherry,pRPS3,tPMA1,-1.8667481558870784,2.542624682721965e-22
mCherry,pRPS13,tRPS3,0.5549583198354724,2.854200304394777e-5
mCherry,pRPS13,tRPS13,0.4382560805334977,4.06771306282528e-4
mCherry,pRPS13,tPAB1,0.5324083610644619,4.6502525127705395e-5
mCherry,pRPS13,tHSP26,0.30610516273373256,0.00724469858760474
mCherry,pRPS13,tCLN2,0.4762218756114938,1.971204317479459e-4
mCherry,pRPS13,tSRO9,-1.0162570329941882,1.2377920268625952e-11
mCherry,pRPS13,tTOS6,-0.9791352363635194,3.4375832100348834e-11
mCherry,pRPS13,tSUN4,-1.2491006861165586,1.2025806987795192e-14
mCherry,pRPS13,tPMA1,-2.085362363917467,1.2139987835674993e-23
mTurq,pPGK1,tRPS3,-0.11380386307535476,0.7162349298922357
mTurq,pPGK1,tRPS13,-0.32945449774231783,0.03924767850813467
mTurq,pPGK1,tPAB1,0.4671738162547085,0.0019226673065433
mTurq,pPGK1,tHSP26,-0.3162352770845629,0.03924767850813467
mTurq,pPGK1,tCLN2,-0.04579895063372885,0.7162349298922357
mTurq,pPGK1,tSRO9,-1.324225142552875,8.122559375404182e-14
mTurq,pPGK1,tTOS6,-0.8517307757919282,4.442552318316249e-8
mTurq,pPGK1,tSUN4,-1.5208626326392782,5.815181190446422e-16
mTurq,pPGK1,tPMA1,-2.7277131873226024,1.271998732792643e-26
mTurq,pHSP26,tRPS3,-0.0913532033328335,1
mTurq,pHSP26,tRPS13,-0.31559786122611766,1
mTurq,pHSP26,tPAB1,0.12154755589389409,1
mTurq,pHSP26,tHSP26,-0.5293229087941821,0.30378153392883456
mTurq,pHSP26,tCLN2,-0.16100901160046507,1
mTurq,pHSP26,tSRO9,-1.051404972445062,0.00266320925812663
mTurq,pHSP26,tTOS6,-0.6661552236254713,0.11673662692375772
mTurq,pHSP26,tSUN4,-1.2474233474507632,3.032567929556954e-4
mTurq,pHSP26,tPMA1,-1.5432817400527048,8.368848767774948e-6
mTurq,pRPS3,tRPS3,0.35290393516506935,0.00102426225439316
mTurq,pRPS3,tRPS13,-0.08812668598636912,0.33032930454808784
mTurq,pRPS3,tPAB1,0.6543571227934087,1.0223363994040374e-8
mTurq,pRPS3,tHSP26,0.13101465617264677,0.300311917364637
mTurq,pRPS3,tCLN2,0.2638311594541366,0.01475575839735565
mTurq,pRPS3,tSRO9,-0.7268833357083421,6.79376936924431e-10
mTurq,pRPS3,tTOS6,-1.2512969700470633,4.965468847030326e-18
mTurq,pRPS3,tSUN4,-1.8362855996542955,4.558676812362912e-25
mTurq,pRPS3,tPMA1,-2.4173565559432175,1.701126754189056e-30
mTurq,pRPS13,tRPS3,0.26423375857731207,0.01522094634157454
mTurq,pRPS13,tRPS13,0.0611790275802379,0.500412519764684
mTurq,pRPS13,tPAB1,0.5886753244523341,1.9490500498553353e-7
mTurq,pRPS13,tHSP26,0.19660319298620615,0.0677843590791046
mTurq,pRPS13,tCLN2,0.2901645401104998,0.00903537955637353
mTurq,pRPS13,tSRO9,-0.5765565653482596,2.635154038953823e-7
mTurq,pRPS13,tTOS6,-0.8907256557177462,1.6727532767010272e-12
mTurq,pRPS13,tSUN4,-1.721031363383971,1.0317954090311223e-23
mTurq,pRPS13,tPMA1,-2.042026297474825,5.367915323680752e-27
